
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3496     171   166924     185932     332.63   6596   1 explorer                                                                                                                                                                          
   1823      68   148032     185860     290.92   7356   1 chrome                                                                                                                                                                            
    684      49   256872     161836     171.91    468   1 chrome                                                                                                                                                                            
   1096      84    50052      57056     137.45   2460   1 Steam                                                                                                                                                                             
    491      27    37080      46168      82.97  12268   1 chrome                                                                                                                                                                            
   1027      88   204272     224600      72.17   7268   1 chrome                                                                                                                                                                            
    794      42    44884      41712      56.14   6296   1 NVIDIA Share                                                                                                                                                                      
    441      56   110464     130232      43.08  12076   1 chrome                                                                                                                                                                            
   2405     174   194100     227464      42.27   8060   1 SearchUI                                                                                                                                                                          
    498      98    54704      56256      41.06   5980   1 nvcontainer                                                                                                                                                                       
    338      35    73656      72664      32.88   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84540      27.66  13536   1 chrome                                                                                                                                                                            
    414      20     7392      11092      19.39   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35244      56152      16.61   7672   1 OpenHardwareMonitor                                                                                                                                                               
    685      18     8228      18792      11.80   6004   1 sihost                                                                                                                                                                            
    264      16    13284      23332      10.91   4060   1 conhost                                                                                                                                                                           
   1101      45    52004      78476      10.08   7752   1 ShellExperienceHost                                                                                                                                                               
    560      34   106376      87608       8.75    788   1 steamwebhelper                                                                                                                                                                    
    791      35    16240      33404       7.63   7332   1 RuntimeBroker                                                                                                                                                                     
    719      79    33544      10208       7.11   6896   1 NVIDIA Web Helper                                                                                                                                                                 
