Time,GPU Temperature,CPU Core Usage,RAM Used Memmory,Top Running Process
2019-07-14-16:58:00,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:58:10,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:58:21,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:58:31,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:58:42,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:58:52,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:59:03,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:59:13,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:59:24,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:59:34,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:59:45,2.283333333333333,25.0,46.0,explorer
2019-07-14-16:59:55,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:00:06,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:00:16,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:00:27,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:00:37,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:00:47,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:00:58,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:01:08,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:01:19,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:01:29,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:01:40,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:01:50,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:02:01,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:02:11,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:02:22,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:02:32,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:02:43,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:02:53,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:03:04,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:03:14,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:03:25,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:03:35,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:03:46,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:03:56,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:04:07,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:04:17,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:04:27,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:04:38,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:04:48,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:04:59,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:05:09,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:05:20,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:05:30,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:05:41,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:05:51,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:06:02,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:06:12,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:06:23,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:06:33,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:06:44,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:06:54,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:07:05,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:07:15,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:07:26,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:07:36,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:07:47,2.283333333333333,25.0,46.0,explorer
2019-07-14-17:07:57,2.283333333333333,25.0,46.0,explorer
